status;status;Product;description;categorySuccess;;ZU-23  twin  23mm  AA  Gun;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;ZSU-23  4  Quad  23mm  AAA;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;ZPU-4;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;ZIL-131 6x6 3500-kg truck;New Product has been created;Large wheeled utility vehicle
Success;;Zil 130;New Product has been created;Large wheeled utility vehicle
Success;;Wiesel  Oselot;New Product has been created;Tank
Success;;Watchkeeper;New Product has been created;Unmanned
Success;;MQ-1C Warrior;New Product has been created;Unmanned
Success;;Panhard VÇhicule BlindÇ LÇger;New Product has been created;Armored fighting vehicle
Success;;VAB  APC;New Product has been created;Armored Fighting Vehicle
Success;;Bell  Boeing  V-22  Osprey;New Product has been created;Cargo/Tanker
Success;;UGV  MULE;New Product has been created;Other
Success;;Lockheed  U-2;New Product has been created;Reconnaissance
Success;;Type  69 MBT;New Product has been created;Tank
Success;;Type  63  130mm;New Product has been created;Self-propelled Artillery
Success;;Type  63  130mm  Multiple  Rocket  Launcher  MRL;New Product has been created;Tank
Success;;Tu22M3;New Product has been created;Bomber
Success;;truck-029  united;New Product has been created;Civilian Vehicle
Success;;truck-028  M2;New Product has been created;Civilian Vehicle
Success;;truck-027  UB-16;New Product has been created;Other
Success;;truck-025  united;New Product has been created;Civilian Vehicle
Success;;truck-024  usairways;New Product has been created;Civilian Vehicle
Success;;truck-010-jingle;New Product has been created;Civilian Vehicle
Success;;truck  017B;New Product has been created;Civilian Vehicle
Success;;truck  007;New Product has been created;Civilian Vehicle
Success;;Trailer  generator;New Product has been created;Generator trailer
Success;;trailer  generator;New Product has been created;Generator trailer
Success;;T-90  MBT;New Product has been created;Tank
Success;;T-80  MBT;New Product has been created;Tank
Success;;Goshawk  T-45A;New Product has been created;Trainer
Success;;SuperWedge_Launcher;New Product has been created;Other
Success;;Su-30MKK;New Product has been created;Fighter/Air Defense
Success;;Su-30MKI;New Product has been created;Fighter/Air Defense
Success;;Sukhoi Su-27  Flanker;New Product has been created;Fighter/Air Defense
Success;;Su-24  Fencer;New Product has been created;Attack/Strike
Success;;Su-37  multirole  fighter;New Product has been created;Attack/Strike
Success;;SU_22_M4;New Product has been created;Attack/Strike
Success;;Stryker M1126;New Product has been created;Armored Utility Vehicle
Success;;FCS  Small  Unattended  Ground  Vehicle;New Product has been created;Small Wheeled Utility Vehicle
Success;;Skylark;New Product has been created;Unmanned
Success;;Silver  Fox;New Product has been created;Unmanned
Success;;Shadow-200;New Product has been created;Unmanned
Success;;Boeing  ScanEagle;New Product has been created;Unmanned
Success;;AT 105 Saxon;New Product has been created;Armored Fighting Vehicle
Success;;SA-6  Gainful  SAM  System;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;SA-4  Ganef  SAM  System;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;SA-2  Missile  Launcher;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;SA-19  Grison;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;SA-15-Gauntlet;New Product has been created;Guided
Success;;Sikorsky  S-92;New Product has been created;Cargo helicopter
Success;;S60;New Product has been created;Air Defense / Missile Defense Unit Equipment
Success;;Lockheed  S-3  Viking;New Product has been created;Antisubmarine/patrol/observation
Success;;SA-5  Gammon;New Product has been created;Guided
Success;;FCS  XM1201 RSV;New Product has been created;Armored Utility Vehicle
Success;;RQ-8A;New Product has been created;Unmanned
Success;;RQ Endurance  UAV;New Product has been created;Unmanned
Success;;Robot  Talon  SWORD;New Product has been created;Armored fighting vehicle
Success;;Robot  Talon  GRENADE;New Product has been created;Armored fighting vehicle
Success;;FCS  Armed  Robotic  Vehicle-RSTA;New Product has been created;Armored Fighting Vehicle
Success;;RG-33;New Product has been created;Light Armored Vehicle
Success;;RG-31 Nyala;New Product has been created;Armored utility vehicle
Success;;Boeing  RC-135;New Product has been created;Reconnaissance
Success;;RAFAEL  Golan;New Product has been created;Armored utility vehicle
Success;;Pelikan;New Product has been created;Attack/Strike
Success;;Pilatus  Flugzeugwerke  SA  PC-9;New Product has been created;Trainer
Success;;Sawar  Class  inshore  patrol  boat;New Product has been created;Light/Patrol Craft
Success;;patria;New Product has been created;Armored utility vehicle
Success;;Pantsyr  S1  Air  Defense;New Product has been created;Armored utility vehicle
Success;;Pandur  II  6X6  KD-V30;New Product has been created;Armored utility vehicle
Success;;M901;New Product has been created;Armored fighting vehicle
Success;;Patriot Advanced Capability-3 (MIM-104 Patriot);New Product has been created;Guided
Success;;Oshkosh  MK48-series  articulated  8x8  vehicle;New Product has been created;Large wheeled utility vehicle
Success;;Mule RSV;New Product has been created;Large Wheeled Utility Vehicle
Success;;FCS  MULE  Transport;New Product has been created;Small Wheeled Utility Vehicle
Success;;FCS  MULE  Countermine;New Product has been created;Small Wheeled Utility Vehicle
Success;;FCS  Armed  Robotic  vehicle-STA;New Product has been created;Armored Fighting Vehicle
Success;;2S12  120-mm;New Product has been created;Mortar
Success;;Mortar  2B14  1;New Product has been created;Mortar
Success;;MLRS-M270;New Product has been created;Self-propelled artillery
Success;;Mk  19  40-mm;New Product has been created;Towed Artillerie
Success;;Mirage-5;New Product has been created;Attack/Strike
Success;;Mirage-3;New Product has been created;Attack/Strike
Success;;Mirage  F-1;New Product has been created;Fighter/Air Defense
Success;;Mirage  2000;New Product has been created;Fighter/Air Defense
Success;;Bus;New Product has been created;Civilian Vehicle
Success;;MiG-31  Foxhound;New Product has been created;Fighter/Air Defense
Success;;MiG-29  Fulcrum;New Product has been created;Fighter/Air Defense
Success;;MiG-25  Foxbat;New Product has been created;Fighter/Air Defense
Success;;Mi-2UPR;New Product has been created;Utility helicopter
Success;;Mi-28  Havoc;New Product has been created;Attack helicopter
Success;;Meerkat;New Product has been created;Armored utility vehicle
Success;;FCS  Medical  Vehicle-Evacuation;New Product has been created;Armored utility vehicle
Success;;MAV;New Product has been created;Armored utility vehicle
Success;;MAG_GPMG_7-62;New Product has been created;Other
Success;;M901A1;New Product has been created;Tank
Success;;M88A2;New Product has been created;Armored utility vehicle
Success;;M60 MBT;New Product has been created;Tank
Success;;106  mm  RCL40  M40;New Product has been created;Armor
Success;;M3 Bradley;New Product has been created;Armored utility vehicle
Success;;M2-MOUNTED;New Product has been created;Other
Success;;M-220  Tow;New Product has been created;Mortar
Success;;The M-220 TOW Missile System;New Product has been created;Other
Success;;M2  60-mm;New Product has been created;Other
Success;;M1A2;New Product has been created;Tank
Success;;M115  8-inch  Howitzer;New Product has been created;Towed Artillery
Success;;M1135;New Product has been created;Armored fighting vehicle
Success;;M1133 Medical Evacuation Vehicle;New Product has been created;Armored fighting vehicle
Success;;M1131;New Product has been created;Armored utility vehicle
Success;;M1130 Commander's Vehicle;New Product has been created;Armored Utility Vehicle
Success;;FMC  M113;New Product has been created;Armored Fighting Vehicle
Success;;Stryker Mobile Gun System;New Product has been created;Armored fighting vehicle
Success;;M1127 Reconnaissance Vehicle;New Product has been created;Armored utility vehicle
Success;;M1126  M2;New Product has been created;Armored utility vehicle
Success;;M1117  Armored  Security  Vehicle;New Product has been created;Armored Fighting Vehicle
Success;;M109  Howitzer;New Product has been created;Self-propelled artillery
Success;;M1097 Heavy HMMWV;New Product has been created;Armored utility vehicle
Success;;M1046  TOW  missile  carrier;New Product has been created;Small Wheeled Utility Vehicle
Success;;M1089  Truck  Wrecker  MTV  Equip  Winch;New Product has been created;Large wheeled utility vehicle
Success;;Luggage  Cart-001;New Product has been created;Other
Success;;Leopard MBT;New Product has been created;Tank
Success;;Leclerc;New Product has been created;Tank
Success;;Aero  L-159;New Product has been created;Fighter/Air Defense
Success;;KrAZ-255B  6x6  7500-kg  truck;New Product has been created;Large Wheeled Utility Vehicle
Success;;KPV-MOUNTED;New Product has been created;Other
Success;;KPV  TOWED;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;Koni  Class;New Product has been created;Frigate
Success;;USS Kitty  Hawk;New Product has been created;Carrier
Success;;KE-3A;New Product has been created;Other
Success;;Boeing  KC-135  Stratotanker;New Product has been created;Cargo/Tanker
Success;;KC-10  Extender;New Product has been created;Cargo/Tanker
Success;;SEPECAT Jaguar;New Product has been created;Attack/Strike
Success;;Chengdu J-10;New Product has been created;Guided
Success;;IVMMD  T-MDT (Trailer);New Product has been created;Armored utility vehicle
Success;;IVMMD  S-MDT (Trailer);New Product has been created;Armored utility vehicle
Success;;IVMMD F-MDT (Trailer);New Product has been created;Armored utility vehicle
Success;;Irobot  Packbot  Explorer;New Product has been created;Armored utility vehicle
Success;;International MaxxPro;New Product has been created;Armored Fighting Vehicle
Success;;Il-76  Candid;New Product has been created;Cargo/Tanker
Success;;IED;New Product has been created;Mortar
Failed;# of Column Error on line 141;;;
Failed;# of Column Error on line 142;;;
Success;;HMMWV  M998-series;New Product has been created;Small wheeled utility vehicle
Success;;BAE Hawk;New Product has been created;Guided
Success;;GMC  Sierra  Utility;New Product has been created;Civilian Vehicle
Success;;GAZ-66  4x4  2000-kg  truck;New Product has been created;Large Wheeled Utility Vehicle
Success;;G6 155-mm Howitzer;New Product has been created;Self-propelled Artillery
Success;;155mm  Gun-Howitzer;New Product has been created;Towed Artillery
Success;;FV 105  Sultan;New Product has been created;Armored Fighting Vehicle
Success;;FV103  Spartan;New Product has been created;Armored Fighting Vehicle
Success;;FV  101  Scorpion;New Product has been created;Armored Fighting Vehicle
Success;;Frog-7 rocket launcher;New Product has been created;Self-propelled Artillery
Success;;FRMV  Recovery  and  Maintenance  Vehicle;New Product has been created;Large Wheeled Utility Vehicle
Success;;FORD350  Bronco 2  Utility;New Product has been created;Civilian Vehicle
Success;;Ford;New Product has been created;Civilian Vehicle
Success;;Fennek;New Product has been created;Armored Utility Vehicle
Failed;# of Column Error on line 157;;;
Success;;Multifunction Utility/Logistics Equipment Vehicle;New Product has been created;Small Wheeled Utility Vehicle
Success;;FA-18  Hornet;New Product has been created;Fighter/Air Defense
Success;;F-6A;New Product has been created;Fighter/Air Defense
Success;;F-5;New Product has been created;Guided
Success;;F-4  Phantom  II;New Product has been created;Reconnaissance
Success;;F-35;New Product has been created;Fighter/Air Defense
Success;;F-16  Fighting  Falcon;New Product has been created;Fighter/Air Defense
Success;;F-15E Strike Eagle;New Product has been created;Fighter/Air Defense
Success;;F-15  Eagle;New Product has been created;Fighter/Air Defense
Success;;F-14A;New Product has been created;Fighter/Air Defense
Success;;F-117;New Product has been created;Attack/Strike
Success;;EA-6  Prowler;New Product has been created;Electronic Warfare (EW)
Success;;Boeing  E-3  Sentry;New Product has been created;Surveillance / C2 (Airborne Early Warnin
Success;;E-2  Hawkeye;New Product has been created;Surveillance / C2 (Airborne Early Warnin
Success;;DSHK-MOUNTED;New Product has been created;Other
Success;;DSHK;New Product has been created;Other
Success;;ATF Dingo;New Product has been created;Armored Utility Vehicle
Success;;DDG-1000  Zumwalt;New Product has been created;Destroyer
Success;;Dana  Howitzer-77;New Product has been created;Self-propelled Artillery
Success;;Cougar  H  Series  4X4;New Product has been created;Armored Utility Vehicle
Success;;Cougar  Type;New Product has been created;Light/Patrol Craft
Failed;# of Column Error on line 179;;;
Failed;# of Column Error on line 180;;;
Success;;FCS  UAV  Class  IV;New Product has been created;Unmanned
Success;;FCS  UAV  Class  III;New Product has been created;Unmanned
Success;;FCS  UAV  Class  II;New Product has been created;Unmanned
Success;;FCS  UAV  Class  I;New Product has been created;Unmanned
Success;;CHEVY  AFGHAN;New Product has been created;Civilian Vehicle
Success;;Cheetah;New Product has been created;Fighter/Air Defense
Success;;Challenger  MBT;New Product has been created;Tank
Success;;Boeing  Models  114/414;New Product has been created;Cargo helicopter
Success;;Centauro  B-1;New Product has been created;Tank
Success;;BAE Caiman;New Product has been created;Armored Utility Vehicle
Success;;M109 155-mm SP Howitzer;New Product has been created;Self-propelled artillery
Success;;M4 Command and Control Vehicle (C2V);New Product has been created;Armored Fighting Vehicle
Success;;Short C-23A  Sherpa;New Product has been created;Cargo/Tanker
Success;;C-141B  Starlifter;New Product has been created;Cargo/Tanker
Success;;Lockheed  C-130;New Product has been created;Cargo/Tanker
Success;;C-12 Huron;New Product has been created;Cargo/Tanker
Success;;bandvagn 206;New Product has been created;Armored Fighting Vehicle
Success;;BULL;New Product has been created;Armored utility vehicle
Success;;Buffalo;New Product has been created;Armored utility vehicle
Success;;BTR-80;New Product has been created;Armored Fighting Vehicle
Success;;BTR-152;New Product has been created;Armored Fighting Vehicle
Success;;BRDM-2  Reconnaissance  vehicle;New Product has been created;Armored fighting vehicle
Success;;Boeing  737;New Product has been created;Non-Combatant Commercial Aircraft
Success;;Boeing  B-52  Stratofortress;New Product has been created;Bomber
Success;;Boeing  747-400;New Product has been created;Non-Combatant Commercial Aircraft
Success;;BMP-2;New Product has been created;Armored Fighting Vehicle
Success;;BMD-3;New Product has been created;Armored Fighting Vehicle
Success;;BMD-2;New Product has been created;Armored Fighting Vehicle
Success;;BGM-109 Tomahawk;New Product has been created;Guided
Success;;Grumman F8F Bearcat;New Product has been created;Fighter/Air Defense
Success;;Bae  Hawk;New Product has been created;Attack/Strike
Success;;BAE  Black  Knight;New Product has been created;Other
Success;;B-52;New Product has been created;Bomber
Success;;B-2_Spirit;New Product has been created;Bomber
Success;;B-10  82-mm  recoilless  gun;New Product has been created;Towed Artillery
Success;;B-1_Lancer;New Product has been created;Bomber
Success;;AV-8B_Harrier_II;New Product has been created;Attack/Strike
Success;;AS90  155-mm;New Product has been created;Self-propelled Artillery
Success;;Buffel  ARV;New Product has been created;Armored Fighting Vehicle Moffel Unibuffel  Bulldog Rhino APC
Success;;ARH-70;New Product has been created;Reconnaissance
Success;;AN-TWQ-1-Avenger;New Product has been created;Surveillance Towed Array Sonar System
Success;;An-2-3  Colt;New Product has been created;Cargo/Tanker
Success;;AMX-30;New Product has been created;Tank
Success;;Alpha MRAP;New Product has been created;armored fighting vehicles
Success;;airport;New Product has been created;Other
Success;;AH-64D;New Product has been created;Attack helicopter
Success;;AH-64  Apache;New Product has been created;Attack helicopter
Success;;AH-1W;New Product has been created;Attack helicopter
Success;;AAV7A1 (amphibious assault vehicle);New Product has been created;Armored Fighting Vehicle
Success;;A320  AirBus;New Product has been created;Non-Combatant Commercial Aircraft
Success;;A-10 Thunderbolt;New Product has been created;Attack/Strike
Success;;S-60  57mm  AA  Gun/57 mm AZP S-60;New Product has been created;Air Defense / Missile Defense Unit Equip
Success;;2S9;New Product has been created;Tank
Success;;2S12  120a-mm;New Product has been created;Mortar
Success;;120  mm  HE  FRAG;New Product has been created;Ballistic
